customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.daily
0164-XAIRP,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,24,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Sí,Bank transfer (automatic),19.55,470.2,0.6516666666666667
0168-XZKBB,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,19,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Sí,Electronic check,86.85,1564.4,2.895
0174-QRVVY,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,71,Con servicio telefónico,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35,1847.55,0.8450000000000001
0177-PXBAT,Permanece en la empresa,Male,Adulto mayor,Tiene pareja,No tiene dependientes,33,Con servicio telefónico,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Sí,Bank transfer (automatic),109.9,3694.7,3.6633333333333336
0178-CIIKR,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,3,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,0.6649999999999999
0178-SZBHO,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,47,Con servicio telefónico,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,2.9066666666666667
0181-RITDD,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,62,Con servicio telefónico,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,3.605
0186-CAERR,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,71,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Sí,Bank transfer (automatic),116.3,8309.55,3.8766666666666665
0187-QSXOE,Permanece en la empresa,Male,Adulto mayor,Tiene pareja,No tiene dependientes,7,Con servicio telefónico,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sí,Electronic check,89.0,605.45,2.966666666666667
0187-WZNAB,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,27,Con servicio telefónico,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,2.48
0188-GWFLE,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,2,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,33.7,0.6683333333333333
0191-EQUUH,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,Tiene dependientes,25,Sin servicio telefónico,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,1.1683333333333332
0191-ZHSKZ,Permanece en la empresa,Male,Adulto mayor,No tiene pareja,No tiene dependientes,30,Con servicio telefónico,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Sí,Electronic check,74.75,2111.3,2.4916666666666667
0193-ESZXP,Abandonó la empresa,Female,Adulto mayor,Tiene pareja,No tiene dependientes,58,Con servicio telefónico,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Sí,Credit card (automatic),105.5,6205.5,3.5166666666666666
0195-IESCP,Abandonó la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,10,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Sí,Electronic check,85.25,855.3,2.841666666666667
0196-JTUQI,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,9,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Credit card (automatic),75.2,633.85,2.506666666666667
0196-VULGZ,Abandonó la empresa,Female,Adulto mayor,Tiene pareja,No tiene dependientes,6,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Sí,Electronic check,84.35,474.9,2.8116666666666665
